timestamp,gold_18k,ons_gold,silver,coin
2026-08-29 11:08:52,217464000,4454.08,4598700,2160100000
2026-08-29 11:23:32,217464000,4454.08,4598700,2160100000
2026-08-29 11:43:33,217464000,4454.08,4598700,2160100000
2026-08-29 12:10:12,218720000,4454.08,4541900,2170050000
2026-08-29 12:49:05,218720000,4454.08,4541900,2170050000
2026-08-29 12:50:07,218720000,4454.08,4541900,2170050000
2026-08-29 13:10:04,218720000,4454.08,4541900,2170050000
2026-08-29 13:20:03,218189000,4454.08,4593600,2180100000
2026-08-31 11:10:05,218738000,4442.29,4693300,2194850000
2026-08-31 12:20:04,218925000,4435.15,4707000,2194800000
2026-08-31 12:30:03,218925000,4435.15,4707000,2194800000
2026-08-31 12:50:03,218925000,4435.15,4707000,2194800000
2026-08-31 13:00:03,218925000,4435.15,4707000,2194800000
2026-08-31 13:20:03,218925000,4435.15,4707000,2194800000
2026-08-31 13:30:04,220125000,4443.31,4701700,2194850000
